,Mpro-x0946,Mpro-x0387,Mpro-x0967,rank_score,rank,Smiles
CHEMBL2059095,-9.741162300000001,-9.40487099,-7.83615112,-8.99406147,1,CNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCN2C3=O)CC1
CHEMBL3937948,-9.07331085,-8.56946945,-9.11389923,-8.918893176666666,2,CC(=O)NS(=O)(=O)c1ccc(-c2cnc(N3CCOCC3)c3nc(COc4ccc5ccccc5n4)cn23)cc1
CHEMBL2059097,-9.49788761,-8.89221954,-8.36147976,-8.917195636666667,3,CNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCCN2C3=O)CC1
CHEMBL3955838,-9.26942348,-8.51635075,-8.94256783,-8.909447353333334,4,NS(=O)(=O)c1ccc(-c2cnc(N3CCOCC3)c3nc(COc4ccc5ccccc5n4)cn23)cc1
CHEMBL2059094,-8.65120792,-9.27600574,-8.64285088,-8.856688179999999,5,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCN2C3=O)CC1
CHEMBL3900411,-9.46738815,-8.19506645,-8.73264027,-8.798364956666667,6,O=C(O)CNc1ccc(-c2cnc(N3CCOCC3)c3nc(COc4ccc5ccccc5n4)cn23)cn1
CHEMBL2059302,-9.13818836,-8.87744617,-8.30517673,-8.773603753333333,7,CNC(=O)Nc1sc2c(OC)cccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCN2C3=O)CC1
CHEMBL2059301,-9.33050346,-8.07488251,-8.8943119,-8.766565956666666,8,COc1cccc2c(C(=O)N3CCC(N4CCCC5(C4)C(=O)N4CCCCN4C5=O)CC3)c(NC(N)=O)sc12
CHEMBL2059096,-9.84085369,-7.93280315,-8.48091602,-8.751524286666667,9,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCN2C3=O)CC1
CHEMBL1684519,-8.84213924,-8.47582436,-8.90067387,-8.739545823333332,10,Cc1ccc2cc(-c3n[nH]c4ccc(NS(=O)(=O)c5cccc(F)c5)cc34)[nH]c2c1
CHEMBL2030408,-8.60926914,-8.50146484,-9.05783272,-8.722855566666667,11,CCN1C(=O)OC2(CCCN(C3CCN(C(=O)c4c(NC(N)=O)sc5ccccc45)CC3)C2)C1=O
CHEMBL1684521,-8.73007774,-8.43368721,-8.78305149,-8.648938813333332,12,COc1cccc(S(=O)(=O)Nc2ccc3[nH]nc(-c4cc5ccc(C)cc5[nH]4)c3c2)c1
CHEMBL3904950,-8.916528699999999,-8.56473827,-8.44148922,-8.640918730000001,13,CC(=O)NS(=O)(=O)c1ccc(-c2c(/C=C/c3ccc4ccccc4n3)nc3c(N4CCOCC4)ccnn23)cc1
CHEMBL3896000,-8.21122742,-8.31450367,-9.38594818,-8.637226423333333,14,NS(=O)(=O)c1ccc(-c2c(CCc3ccc4ccccc4n3)nc3c(N4CCOCC4)ccnn23)cc1
CHEMBL1684520,-8.66326332,-8.34994316,-8.83947468,-8.617560386666668,15,Cc1ccc2cc(-c3n[nH]c4ccc(NS(=O)(=O)c5ccc(F)cc5)cc34)[nH]c2c1
CHEMBL397281,-8.80977631,-8.85616684,-8.15776157,-8.607901573333335,16,CN1c2ccc(S(=O)(=O)Cc3ccc(Cl)cc3)cc2N=C(c2ccc(C(=O)O)cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C
CHEMBL2030573,-8.93436432,-8.71107006,-8.0840435,-8.576492626666667,17,CNC(=O)Nc1sc2nc(C)ccc2c1C(=O)N1CCC(N2CCC[C@@]3(C2)CC(C)(C)OC3=O)CC1
CHEMBL1684518,-8.648036,-8.26776218,-8.6937418,-8.536513326666666,18,Cc1ccc2cc(-c3n[nH]c4ccc(NS(=O)(=O)c5ccccc5F)cc34)[nH]c2c1
CHEMBL397511,-8.5387516,-8.41214943,-8.60522652,-8.518709183333334,19,CN1c2ccc(S(=O)(=O)Nc3ccc(OC(F)(F)F)cc3)cc2N=C(c2ccc(C(=O)O)cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C
CHEMBL244565,-8.88064861,-7.59510994,-9.00141525,-8.492391266666667,20,CN1c2ccc(S(=O)(=O)N3CCOCC3)cc2N=C(c2ccc(C(=O)O)cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C
CHEMBL2030570,-8.70711231,-8.38007355,-8.34537697,-8.477520943333333,21,CCNC(=O)Nc1sc2nc(C)ccc2c1C(=O)N1CCC(N2CCCC3(C2)CC(C)(C)OC3=O)CC1
CHEMBL409214,-8.50784111,-7.82233047,-9.00289631,-8.444355963333333,22,COc1ccc(S(=O)(=O)c2ccc3c(c2)N=C(c2ccc(C(=O)O)cc2)c2cc4c(cc2N3C)C(C)(C)CCC4(C)C)cc1
CHEMBL2059099,-8.84039593,-8.23034668,-8.2326107,-8.434451103333332,23,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCCCN2C3=O)CC1
CHEMBL2059303,-8.7415247,-8.37652206,-8.17965508,-8.432567279999999,24,CCNC(=O)Nc1sc2c(OC)cccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCN2C3=O)CC1
CHEMBL3690047,-8.32731152,-8.79873276,-8.10810757,-8.411383950000001,25,O=C(Nc1ccc(F)c(F)c1C(=O)N1CCC1)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL2030577,-8.8030386,-8.05703735,-8.36246967,-8.407515206666668,26,CCNC(=O)Nc1sc2nc(C)ccc2c1C(=O)N1CCC(N2CCCC3(C2)N=C(C)N(C(C)C)C3=O)CC1
CHEMBL500517,-8.7820034,-8.3582859,-8.04027939,-8.393522896666667,27,CN(C(=O)c1ccccc1)c1ccc2c(c1)[nH]/c(=N\C(=O)c1ccc(/C=C/c3ncc(N)cn3)s1)n2CCC(N)=O
CHEMBL3690030,-8.28544521,-8.47988319,-8.39933777,-8.388222056666669,28,O=C(Nc1cc(F)ccc1C(=O)N1CCC1)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL1684517,-8.45397282,-8.16347504,-8.54300117,-8.386816343333333,29,Cc1ccc2cc(-c3n[nH]c4ccc(NS(=O)(=O)c5ccccc5)cc34)[nH]c2c1
CHEMBL2059092,-9.26148319,-8.07863903,-7.75127172,-8.36379798,30,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N(C)N(C)C3=O)CC1
CHEMBL3690044,-8.05185699,-8.30906773,-8.65820599,-8.339710236666667,31,CN(C)C(=O)c1c(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)ccc(F)c1F
CHEMBL3910507,-8.85097027,-7.53552389,-8.61351299,-8.333335716666666,32,CC(=O)NS(=O)(=O)c1ccc(-c2c(CCc3ccc4ccccc4n3)nc3c(N4CCOCC4)ccnn23)cc1
CHEMBL1910401,-8.52894783,-7.61911535,-8.85096169,-8.33300829,33,CC1(C)CC2(CCCN(C3CCN(C(=O)c4c(NC(=O)NC5CCCCC5)sc5ccccc45)CC3)C2)C(=O)O1
CHEMBL395801,-8.84086895,-8.09645081,-7.994983199999999,-8.310767653333334,34,CN1c2ccc(S(=O)(=O)c3ccc(OC(F)(F)F)cc3)cc2N=C(c2ccc(C(=O)O)cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C
CHEMBL3643892,-9.00031376,-7.83776474,-8.09126091,-8.309779803333333,35,COc1ccc2nc(NCCNC(C)=O)c(Cc3c(=O)[nH]c(C)c4cc(OC)c(OC)cc34)cc2c1
CHEMBL2030564,-8.3758173,-8.32253647,-8.18056965,-8.292974473333333,36,CCN1C(=O)C2(CCCN(C3CCN(C(=O)c4c(NC(N)=O)sc5ccccc45)CC3)C2)N=C1C(C)C
CHEMBL3690028,-7.96589041,-8.26111507,-8.59488583,-8.273963770000002,37,CN(C)C(=O)c1c(F)cc(F)cc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL2030409,-8.79548836,-8.16863537,-7.85168314,-8.271935623333333,38,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)OC(=O)N(CC)C3=O)CC1
CHEMBL3690050,-8.30176353,-8.14257145,-8.35053253,-8.264955836666667,39,CNC(=O)COc1ccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c(C(=O)NC)c1
CHEMBL3690027,-8.26209068,-8.19085598,-8.33198261,-8.261643090000002,40,CNC(=O)c1c(F)cc(F)cc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL1910399,-8.13215542,-8.23465347,-8.40250015,-8.256436346666668,41,CNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)CC(C)(C)OC3=O)CC1
CHEMBL3947734,-8.70082188,-7.72600508,-8.33728123,-8.25470273,42,Cn1ncc(C(=O)N2CC(F)C2)c1C(=O)Nc1ccc2nc(-c3ccccc3)nn2c1
CHEMBL1910404,-8.78367901,-8.266545299999999,-7.65526438,-8.235162896666665,43,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCC[C@@]3(C2)CC(C)(C)OC3=O)CC1
CHEMBL2030575,-8.76648235,-8.25107861,-7.68525362,-8.234271526666667,44,CNC(=O)Nc1sc2nc(C)ccc2c1C(=O)N1CCC(N2CCC[C@]3(CC(=O)N(C(C)C)C3=O)C2)CC1
CHEMBL3690066,-8.22784519,-8.29244423,-8.16989994,-8.230063119999999,45,CNC(=O)c1cc(OCC(C)(C)O)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL2030574,-8.51027298,-8.29329491,-7.88644981,-8.2300059,46,CCNC(=O)Nc1sc2nc(C)ccc2c1C(=O)N1CCC(N2CCC[C@]3(CCN(C(C)C)C3=O)C2)CC1
CHEMBL2030572,-8.8687191,-7.91087389,-7.90547514,-8.228356043333333,47,CCNC(=O)Nc1sc2nccnc2c1C(=O)N1CCC(N2CCCC3(C2)CC(C)(C)OC3=O)CC1
CHEMBL3643870,-9.10622406,-7.66727257,-7.90370703,-8.225734553333334,48,COc1ccc2nc(NCC(F)(F)F)c(Cc3c(=O)[nH]c(C(C)C)c4cc(OC)c(OC)cc34)cc2c1
CHEMBL2030406,-8.2063961,-8.47543335,-7.96824455,-8.216691333333332,49,CCN1C(=O)CC2(CCCN(C3CCN(C(=O)c4c(NC(N)=O)sc5ccccc45)CC3)C2)C1=O
CHEMBL2030562,-8.25521088,-8.27956963,-8.1119051,-8.21556187,50,CCN1C(=O)C2(CCCN(C3CCN(C(=O)c4c(NC(N)=O)sc5ccccc45)CC3)C2)N=C1C
CHEMBL3643874,-8.72387218,-7.70154524,-8.21556854,-8.213661986666667,51,CCCc1[nH]c(=O)c(Cc2cc3cc(OC)ccc3nc2NCCNC(C)=O)c2cc(OC)c(OC)cc12
CHEMBL397512,-8.39620018,-7.47855616,-8.75953102,-8.21142912,52,CN1c2ccc(S(=O)(=O)N3CCCC3)cc2N=C(c2ccc(C(=O)O)cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C
CHEMBL1910400,-8.72299004,-7.95792198,-7.91303015,-8.197980723333334,53,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)CC(C)(C)OC3=O)CC1
CHEMBL2030576,-8.74036026,-7.97560883,-7.84462357,-8.186864219999999,54,CCNC(=O)Nc1sc2nc(C)ccc2c1C(=O)N1CCC(N2CCCC3(C2)OC(=O)N(C(C)C)C3=O)CC1
CHEMBL383420,-8.49835777,-7.66185856,-8.38040924,-8.180208523333334,55,Cc1c(CCS(=O)(=O)c2ccc(CCC(=O)O)cc2)c2cc(Cl)ccc2n1C(c1ccccc1)c1ccccc1
CHEMBL3690033,-8.2176609,-8.10420322,-8.21212292,-8.17799568,56,O=C(Nc1ccc(F)cc1C(=O)N1CCC1)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3643873,-8.51531124,-7.7331357,-8.26227379,-8.170240243333334,57,CCCc1[nH]c(=O)c(Cc2cc3cc(OC)ccc3nc2NCC(F)(F)F)c2cc(OC)c(OC)cc12
CHEMBL3690058,-8.40363979,-7.90080738,-8.20294189,-8.169129686666667,58,CC(C)(O)CNC(=O)c1ncccc1NC(=O)c1nc(C(C)(C)C)ncc1Nc1cncnc1
CHEMBL3904311,-8.4065609,-7.83786201,-8.24810791,-8.164176939999999,59,Cn1ncc(C(=O)N2CCCC2)c1C(=O)Nc1ccc2nc(-c3ccccc3)nn2c1
CHEMBL3975696,-8.28671551,-7.90000772,-8.29796886,-8.16156403,60,Cn1ncc(C(=O)N2CCOCC2)c1C(=O)Nc1ccc2nc(N3CCOCC3)nn2c1
CHEMBL2030571,-8.4956789,-8.21953392,-7.75965309,-8.158288636666667,61,CCNC(=O)Nc1sc2cccnc2c1C(=O)N1CCC(N2CCCC3(C2)CC(C)(C)OC3=O)CC1
CHEMBL2030410,-8.30876255,-8.05837727,-8.09890079,-8.15534687,62,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)NC(=O)N(CC)C3=O)CC1
CHEMBL3643888,-8.80087566,-7.71256971,-7.94895697,-8.154134113333333,63,CCc1[nH]c(=O)c(Cc2cc3cc(OC)ccc3nc2NCCNC(C)=O)c2cc(OC)c(OC)cc12
CHEMBL3690026,-8.05907631,-7.84605122,-8.54310417,-8.149410566666667,64,CN(C)C(=O)c1cc(F)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3928869,-8.645271300000001,-7.33548212,-8.45409966,-8.144951026666668,65,Cn1ncc(C(=O)O)c1C(=O)Nc1ccc2nc(-c3ccccc3)nn2c1
CHEMBL3690024,-8.36294174,-7.69205713,-8.37197876,-8.142325876666666,66,CNC(=O)c1cc(C(F)(F)F)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL2030569,-8.32802677,-8.22763252,-7.86640215,-8.140687146666666,67,CCNC(=O)Nc1sc2ncccc2c1C(=O)N1CCC(N2CCCC3(C2)CC(C)(C)OC3=O)CC1
CHEMBL3690046,-8.50136185,-7.92653275,-7.99218893,-8.140027843333334,68,CC(C)(O)CNC(=O)c1c(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)ccc(F)c1F
CHEMBL2030578,-8.78851986,-7.81227827,-7.75978947,-8.120195866666668,69,CCNC(=O)Nc1sc2nc(C)ccc2c1C(=O)N1CCC(N2CCCC3(C2)NC(=O)N(C(C)C)C3=O)CC1
CHEMBL3690037,-8.35859394,-7.95246935,-8.03979874,-8.11695401,70,O=C(Nc1cccc(F)c1C(=O)N1CCC1)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3686988,-8.70594025,-7.48295784,-8.15884018,-8.115912756666667,71,O=S(=O)(c1ccc(-c2nccnc2C2CN(c3ccc4ccccc4n3)C2)cc1)N1CCOCC1
CHEMBL3690040,-7.84264374,-8.16271877,-8.3320446,-8.112469036666665,72,CNC(=O)c1cc(F)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3973796,-8.31054115,-7.70929432,-8.31525803,-8.111697833333332,73,Cn1ncc(C(=O)N2CCOCC2)c1C(=O)Nc1ccc2nc(-c3ccccc3)nn2c1
CHEMBL3690051,-8.12049389,-8.37204933,-7.82335043,-8.105297883333334,74,O=C(Nc1cc(F)cc(F)c1C(=O)N1CCC1)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3894249,-7.70901871,-7.76005268,-8.83773422,-8.102268536666665,75,O=C(O)CNc1ccc(-c2cnc(N3CCOCC3)c3nc(/C=C/c4ccc5ccccc5n4)cn23)cn1
CHEMBL2030568,-8.5415554,-7.65734625,-8.09602547,-8.09830904,76,CNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(CCN(C(C)C)C3=O)C2)CC1
CHEMBL3690055,-8.17229462,-7.65343904,-8.45278549,-8.092839716666667,77,CNC(=O)c1ccc(F)c(F)c1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL2059098,-8.4701004,-7.81241417,-7.97076368,-8.084426083333334,78,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCCN2C3=O)CC1
CHEMBL3690023,-8.22512627,-8.29011631,-7.73138857,-8.082210383333333,79,CC(C)(O)CNC(=O)c1cc(C(F)(F)F)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL2030407,-8.16056538,-8.44318104,-7.63338566,-8.079044026666667,80,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(CC(=O)N(CC)C3=O)C2)CC1
CHEMBL3690063,-8.161686900000001,-7.524709700000001,-8.5490675,-8.078488033333334,81,Cn1ncc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c1C(=O)N1CCCO1
CHEMBL3980000,-7.7017355,-7.66202068,-8.854028699999999,-8.072594959999998,82,CC(=O)NS(=O)(=O)c1ccc(-c2cnc(N3CCOCC3)c3nc(/C=C/c4ccc5ccccc5n4)cn23)cc1
CHEMBL3690057,-7.97562551,-7.91492796,-8.31914997,-8.069901146666666,83,CC(C)c1ncc(Nc2cncnc2)c(C(=O)Nc2cccnc2C(=O)NCC(C)(C)O)n1
CHEMBL2059093,-8.96938229,-7.20191669,-8.02856541,-8.066621463333334,84,CCN1C(=O)C2(CCCN(C3CCN(C(=O)c4c(NC(=O)NC)sc5ccccc45)CC3)C2)C(=O)N1CC
CHEMBL3690034,-7.55698109,-8.20650578,-8.41115665,-8.058214506666667,85,CC(C)(O)CNC(=O)c1cc(F)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3690052,-7.83167553,-8.26538944,-8.07707977,-8.058048246666665,86,CC(C)(O)CNC(=O)c1c(F)cc(F)cc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3690064,-8.06507015,-7.94927788,-8.15724468,-8.05719757,87,Cn1ncc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c1C(=O)NC1CCCC1O
CHEMBL3690056,-8.00525856,-7.80233765,-8.35791683,-8.055171013333334,88,CNC(=O)c1cc(CCC(=O)O)ccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3699927,-8.3401804,-7.75309944,-8.07035446,-8.054544766666668,89,CCNc1nccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc12
CHEMBL3690054,-7.93424082,-7.376214500000001,-8.81523132,-8.041895546666668,90,CC(C)(O)CNC(=O)c1ccc(F)c(F)c1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3686989,-8.55583382,-7.5343461,-7.99209976,-8.02742656,91,O=S(=O)(c1ccc(-c2nccnc2C2CN(c3ccc4ccccc4n3)C2)cc1)N1CCCCC1
CHEMBL3643906,-8.78541183,-7.48936319,-7.8002553,-8.025010106666667,92,CCc1[nH]c(=O)c(Cc2cc3cc(OCC4CC4)ccc3nc2NCCNC(C)=O)c2cc(OC)c(OC)cc12
CHEMBL3690045,-8.34677696,-7.25958633,-8.46501637,-8.02379322,93,CNC(=O)c1c(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)ccc(F)c1F
CHEMBL3941093,-7.8005352,-7.68703222,-8.58102894,-8.022865453333333,94,O=C(O)CNc1ccc(-c2c(/C=C/c3ccc4ccccc4n3)nc3c(N4CCOCC4)ccnn23)cn1
CHEMBL3690022,-7.95796585,-7.61595583,-8.47916794,-8.017696540000001,95,CN(C)C(=O)c1ccc(F)cc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3699923,-8.64021587,-7.80798435,-7.58664036,-8.011613526666666,96,CCN(C)c1nccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc12
CHEMBL3690067,-7.84302521,-7.48357153,-8.66354275,-7.996713163333332,97,CNC(=O)c1c(NC(=O)c2nc(OCC(F)(F)F)cnc2Nc2cncnc2)cnn1C
CHEMBL3690031,-7.97816753,-7.79704714,-8.20641232,-7.993875663333334,98,CN(C)C(=O)c1cccc(F)c1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL1910398,-8.28255177,-7.607812400000001,-8.08885002,-7.993071396666667,99,CC1(C)CC2(CCCN(C3CCN(C(=O)c4c(NC(N)=O)sc5ccccc45)CC3)C2)C(=O)O1
CHEMBL3963198,-8.11705017,-7.73598671,-8.12520599,-7.992747623333334,100,Cn1ncc(C(=O)N2CCCC2)c1C(=O)Nc1ccc2nc(N3CCCC3)nn2c1
CHEMBL2419551,-8.28794193,-8.14712143,-7.53185511,-7.988972823333334,101,CN(C(=O)c1ccc(OCc2ccc3ccccc3n2)cc1)c1ccc2ncnn2c1
CHEMBL3699925,-8.14192867,-7.87599325,-7.94680548,-7.988242466666667,102,CCCNc1nccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc12
CHEMBL3699930,-8.25025749,-7.56539679,-8.121665,-7.979106426666667,103,CC(F)(F)CNc1ccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc2n1
CHEMBL3918168,-7.82747126,-7.83776236,-8.23894787,-7.968060496666666,104,C=CC(=O)Nc1cccc(-c2cnc3[nH]cc(-c4cccc(S(=O)(=O)N(C)C(C)(C)C)c4)c3n2)c1
CHEMBL3690029,-7.63701105,-8.17862988,-8.07134533,-7.962328753333334,105,CC(C)(O)CNC(=O)c1ccc(F)cc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3686979,-8.61193848,-7.75676775,-7.49601793,-7.954908053333334,106,CN(C)S(=O)(=O)c1cccc(-c2nccnc2C2CN(c3ccc4ccccc4n3)C2)c1
