,Mpro-x0946,Mpro-x0387,Mpro-x0967,rank_score,rank,Smiles
CHEMBL3917327,-8.21998215,-7.50263262,-8.12652779,-7.949714186666667,107,C=CC(=O)Nc1cccc(-c2cnc3[nH]cc(-c4cccc(S(=O)(=O)N(C)C(C)(C)C)c4)c3c2)c1
CHEMBL3690035,-8.23310661,-7.22731209,-8.36581993,-7.942079543333333,108,CNC(=O)c1c(F)cccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL2030563,-8.09719181,-8.04489994,-7.67367268,-7.938588143333333,109,CCC1=NC2(CCCN(C3CCN(C(=O)c4c(NC(N)=O)sc5ccccc45)CC3)C2)C(=O)N1CC
CHEMBL3643907,-8.58746338,-7.48326874,-7.74104404,-7.93725872,110,CCCc1[nH]c(=O)c(Cc2cc3cc(OCC)ccc3nc2NCCNC(C)=O)c2cc(OC)c(OC)cc12
CHEMBL3690048,-8.25734711,-7.5528326,-7.97898436,-7.929721356666666,111,O=C(Nc1c(C(=O)N2CCC2)ccc(F)c1F)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3686919,-8.59331799,-7.49741745,-7.68710661,-7.92594735,112,CS(=O)(=O)c1ccc(-c2nccnc2C2CN(c3ccc4ccccc4n3)C2)cc1
CHEMBL3690043,-8.06748772,-7.77575397,-7.92323589,-7.922159193333333,113,CN1CC(NC(=O)c2c(NC(=O)c3nc(C4CC4)cnc3Nc3cncnc3)cnn2C)C1
CHEMBL2030567,-7.95726585,-8.13219833,-7.67366028,-7.921041486666667,114,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(CCN(CC)C3=O)C2)CC1
CHEMBL3686997,-8.28792477,-7.79920435,-7.67372751,-7.920285543333333,115,O=S(=O)(c1ccccc1)C1CCN(c2nccnc2C2CN(c3ccc4ccccc4n3)C2)C1
CHEMBL3699922,-8.39340973,-7.42045116,-7.92206573,-7.91197554,116,CC(C)Nc1nccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc12
CHEMBL408261,-7.58416605,-7.08193636,-9.06906319,-7.911721866666667,117,COc1ccccc1S(=O)(=O)NCCc1c(CCCc2ccc(C(=O)O)cc2)c2cc(Cl)ccc2n1C(c1ccccc1)c1ccccc1
CHEMBL3643901,-8.37947845,-7.43810129,-7.89163828,-7.903072673333333,118,CCNc1nc2cc(F)c(OC)cc2cc1Cc1c(=O)[nH]c(CC)c2cc(OC)c(OC)cc12
CHEMBL3948653,-8.33076,-7.50266695,-7.87447357,-7.902633506666667,119,C=CC(=O)Nc1cccc(-c2cnc3[nH]cc(-c4cccc(S(=O)(=O)N(CC)CC)c4)c3c2)c1
CHEMBL3643876,-8.2369566,-8.14738655,-7.27479649,-7.88637988,120,CCNc1nc2ccc(OC)cc2cc1Cc1c(=O)[nH]c(CNC(C)=O)c2cc(OC)c(OC)cc12
CHEMBL3931197,-7.75216627,-7.70612621,-8.19514751,-7.884479996666667,121,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccc2nc(-c3cccnc3)nn2c1
CHEMBL2419553,-8.24787045,-7.52274847,-7.85495472,-7.875191213333333,122,CN(C(=O)c1ccc(OCc2ccc3ccccc3n2)cc1)c1ccc2nccn2c1
CHEMBL3962845,-7.94421244,-7.44838285,-8.22271919,-7.871771493333333,123,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccc2nc(-c3ccccc3)nn2c1
CHEMBL3690038,-8.47482586,-7.39609146,-7.73699141,-7.869302909999999,124,CC(C)(O)CNC(=O)c1c(F)cccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3952268,-7.50547171,-7.62691164,-8.46346378,-7.865282376666667,125,O=S(=O)(NCCO)c1ccc(-c2cnc(N3CCOCC3)c3nc(/C=C/c4ccc5ccccc5n4)cn23)cc1
CHEMBL3690025,-8.46101665,-7.26458549,-7.8587451,-7.86144908,126,CNC(=O)c1c(NC(=O)c2nc(N3CCOCC3)cnc2Nc2cncnc2)cnn1C
CHEMBL3690068,-8.165244099999999,-7.32572937,-8.08568192,-7.85888513,127,CNC(=O)c1c(NC(=O)c2nc(C(C)(C)O)ncc2Nc2cncnc2)cnn1C
CHEMBL3690059,-8.13170528,-7.54430151,-7.86298895,-7.846331913333334,128,CC(C)Cc1ncc(Nc2cncnc2)c(C(=O)Nc2cccnc2C(=O)NCC(C)(C)O)n1
CHEMBL3690036,-8.19952297,-7.40234852,-7.91400623,-7.838625906666667,129,CN(C)C(=O)c1c(F)cccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3947248,-7.89467192,-7.58380032,-8.0288372,-7.835769813333333,130,Cn1ncc(C(=O)N2CC(F)C2)c1C(=O)Nc1ccc2nc(N3CCOCC3)nn2c1
CHEMBL3690021,-7.60663271,-7.63295031,-8.24314117,-7.827574729999999,131,CC(C)(O)CNC(=O)c1cccc(F)c1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3983943,-8.30915642,-6.78817987,-8.30011368,-7.799149990000001,132,COC1CCN(c2nc3ccc(NC(=O)c4c(C(=O)N5CCOCC5)cnn4C)cn3n2)C1
CHEMBL3699914,-8.43099689,-7.26565599,-7.68104362,-7.792565499999999,133,CC(C)Nc1ccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc2n1
CHEMBL3690060,-8.14449501,-7.46139526,-7.70752096,-7.771137076666666,134,CNC(=O)c1c(NC(=O)c2nc(CC(C)C)ncc2Nc2cncnc2)cnn1C
CHEMBL3690053,-7.87808371,-7.51967812,-7.91291857,-7.7702268000000005,135,CN(C)C(=O)c1ccc(F)c(F)c1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1
CHEMBL3957479,-8.05175781,-7.40609646,-7.85150719,-7.769787153333333,136,Cn1ncc(C(=O)N2CCOCC2)c1C(=O)Nc1ccc2nc(-c3cccnc3)nn2c1
CHEMBL245242,-7.47396421,-8.43967533,-7.37430811,-7.7626492166666665,137,CCCS(=O)(=O)c1ccc2c(c1)N=C(c1ccc(C(=O)O)cc1)c1cc3c(cc1N2C)C(C)(C)CCC3(C)C
CHEMBL3977862,-7.56433105,-7.50697756,-8.21105671,-7.760788439999999,138,O=C(O)CNc1ccc(-c2c(C#Cc3ccc4ccccc4n3)nc3c(N4CCOCC4)ccnn23)cn1
CHEMBL3941156,-7.73737097,-7.53711176,-8.0039978,-7.7594935099999995,139,COC1CCN(c2nc3ccc(NC(=O)c4c(C(=O)N5CCC5)cnn4C)cn3n2)C1
CHEMBL3957978,-8.09013939,-7.42299843,-7.763846400000001,-7.7589947399999994,140,CN(C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(-c3cccnc3)nn2c1)C1CC1
CHEMBL3699830,-8.2570734,-7.01153755,-7.96463728,-7.744416076666667,141,CC(C)(C)Nc1nccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc12
CHEMBL3643895,-8.12459469,-7.44604921,-7.66013479,-7.743592896666667,142,CCCc1[nH]c(=O)c(Cc2cc3cc(OC)ccc3nc2NCCOC)c2cc(OC)c(OC)cc12
CHEMBL3690032,-8.14060211,-7.2116909,-7.86726761,-7.7398535399999995,143,CNC(=O)c1c(NC(=O)c2nc(N3CCC3)cnc2Nc2cncnc2)cnn1C
CHEMBL3699915,-8.49447727,-6.99679184,-7.72763586,-7.73963499,144,CCN(C)c1ccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc2n1
CHEMBL3952738,-7.747243400000001,-7.70561361,-7.76590681,-7.739587940000001,145,Cn1ncc(C(=O)N2CCCC2)c1C(=O)Nc1ccc2nc(N3CCOCC3)nn2c1
CHEMBL3957823,-7.47071123,-7.3996067,-8.34500504,-7.73844099,146,Cc1cnc(Nc2cncnc2)c(C(=O)Nc2cc(-c3ccccn3)nn2CCO)n1
CHEMBL427694,-7.66928291,-8.12690163,-7.41379833,-7.736660956666667,147,CCCCNS(=O)(=O)c1ccc2c(c1)N=C(c1ccc(C(=O)O)cc1)c1cc3c(cc1N2C)C(C)(C)CCC3(C)C
CHEMBL3690065,-7.61990595,-7.40263796,-8.18389034,-7.735478083333334,148,CNC(=O)c1c(NC(=O)c2nc(OCC(F)(F)F)ncc2Nc2cncnc2)cnn1C
CHEMBL3643875,-8.54647827,-7.17053938,-7.47286654,-7.729961396666667,149,CCNc1nc2ccc(OC)cc2cc1Cc1c(OC(C)=O)nc(CNC(C)=O)c2cc(OC)c(OC)cc12
CHEMBL3690069,-7.94467878,-7.5092659,-7.72668839,-7.726877689999999,150,CNC(=O)c1c(NC(=O)c2nc(C(C)(C)O)cnc2Nc2cncnc2)cnn1C
CHEMBL3643902,-8.36048985,-7.45379019,-7.35532618,-7.723202073333333,151,CCCc1[nH]c(=O)c(Cc2cc3cc(OCC4CC4)ccc3nc2NCCNC(C)=O)c2cc(OC)c(OC)cc12
CHEMBL3690049,-7.76205158,-7.53530979,-7.83622026,-7.711193876666667,152,CCOC(=O)CCc1ccc(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)c(C(=O)NC)c1
CHEMBL3699926,-8.21442986,-7.26974106,-7.647309299999999,-7.710493406666667,153,COCCNc1nccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc12
CHEMBL3643889,-7.90299177,-7.82342291,-7.396926400000001,-7.70778036,154,CCCc1[nH]c(=O)c(Cc2cc3cc(OC)c(F)cc3nc2NCC)c2cc(OC)c(OC)cc12
CHEMBL3980877,-7.68564701,-7.40192223,-8.02915859,-7.705575943333334,155,COc1ncc(C2CC2)nc1C(=O)Nc1ccc2nc(-c3ccccc3)nn2c1
CHEMBL3935904,-8.18785286,-7.21417332,-7.68816566,-7.696730613333333,156,CCCc1ncc(Cc2cc3cc(OC)ccc3nc2NCCNC(C)=O)c2cc(OC)c(OC)cc12
CHEMBL3643896,-8.16952419,-7.46532011,-7.44231844,-7.692387580000001,157,CCc1[nH]c(=O)c(Cc2cc3cc(OC)ccc3nc2NCCOC)c2cc(OC)c(OC)cc12
CHEMBL3643877,-8.00882816,-7.86200047,-7.20422888,-7.691685836666667,158,CCNc1nc2ccc(OC)cc2cc1Cc1c(=O)[nH]c(CNS(C)(=O)=O)c2cc(OC)c(OC)cc12
CHEMBL3939485,-7.55963421,-7.52611113,-7.97002268,-7.685256006666666,159,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccc2nc(N3CCCC3)nn2c1
CHEMBL3699917,-7.9002738,-7.28708744,-7.81582689,-7.667729376666666,160,COCCNc1ccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc2n1
CHEMBL3933457,-7.89327908,-7.35102272,-7.7252121,-7.656504633333333,161,Cn1ncc(C(=O)N2CCCC2)c1C(=O)Nc1ccc2nc(-c3cccnc3)nn2c1
CHEMBL3979472,-7.59269524,-7.63257504,-7.74310684,-7.656125706666667,162,CCC#CC(=O)Nc1cccc(-c2cnc3[nH]cc(-c4cccc(S(=O)(=O)N(C)C(C)(C)C)c4)c3c2)c1
CHEMBL3643886,-8.12755585,-7.67910576,-7.06832647,-7.624996026666666,163,CCNc1nc2ccc(OC)cc2cc1Cc1c(=O)[nH]c(COC)c2cc(OC)c(OC)cc12
CHEMBL3643872,-8.13497829,-7.29469538,-7.42730427,-7.618992646666666,164,CCCc1[nH]c(=O)c(Cc2cc3cc(OC)ccc3nc2NC(C)C)c2cc(OC)c(OC)cc12
CHEMBL3699929,-7.57093573,-7.63132191,-7.63085175,-7.611036463333332,165,CC(C)(C)n1cc2c(n1)C(=O)NC1(CCN(C(=O)c3ccc4ccc(NCC(F)(F)F)nc4c3)CC1)C2
CHEMBL3897647,-7.75678062,-7.65987062,-7.40639591,-7.607682383333334,166,CCNc1nc2ccc(OC)cc2cc1Cc1cncc2cc(OC)c(OC)cc12
CHEMBL2030411,-7.97638655,-7.37889862,-7.45715904,-7.60414807,167,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N(CC)C(=O)N3C)CC1
CHEMBL3908477,-7.64088202,-7.00884819,-8.13666534,-7.595465183333334,168,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccc2nc(N3CCOCC3)nn2c1
CHEMBL3643883,-7.71392202,-7.7394433000000005,-7.3310008,-7.594788706666667,169,CCCc1[nH]c(=O)c(Cc2cc3cc4c(cc3nc2NCC)OCO4)c2cc(OC)c(OC)cc12
CHEMBL3687046,-7.67249203,-7.93625307,-7.13139772,-7.580047606666667,170,CC(C)(C)OC(=O)N[C@H]1CCCN(c2nccnc2C2CN(c3ccc4ccccc4n3)C2)C1
CHEMBL3918632,-7.90064669,-7.54685354,-7.27407646,-7.573858896666667,171,COC1CCN(c2nc3ccc(NC(=O)c4c(C(=O)N5CCCC5)cnn4C)cn3n2)C1
CHEMBL3935383,-7.2766633,-7.421341900000001,-7.87610149,-7.52470223,172,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccc2nc(-c3cscn3)nn2c1
CHEMBL3914937,-7.49742365,-7.3041091,-7.72190285,-7.507811866666667,173,CN(C)c1nc2ccc(NC(=O)c3c(C(=O)N4CCCC4)cnn3C)cn2n1
CHEMBL3643905,-7.58476782,-7.29609966,-7.60156202,-7.4941431666666665,174,CCCc1[nH]c(=O)c(Cc2cc3cc(OCC)c(F)cc3nc2NCC)c2cc(OC)c(OC)cc12
CHEMBL3948962,-7.63437843,-7.05633259,-7.79074764,-7.493819553333334,175,CN(C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(-c3ccccc3)nn2c1)C1CC1
CHEMBL3891702,-7.69905281,-7.13006258,-7.59657812,-7.475231170000001,176,CN(C)c1nc2ccc(NC(=O)c3c(C(=O)N4CC(F)C4)cnn3C)cn2n1
CHEMBL3690062,-7.78649473,-7.09267569,-7.53264618,-7.470605533333334,177,CON(C)C(=O)c1c(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)cnn1C
CHEMBL3978102,-7.54193449,-7.38077688,-7.4887085,-7.47047329,178,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(-c3ccccc3)nn2c1
CHEMBL3907941,-8.00566959,-7.29159069,-7.06907177,-7.455444016666667,179,CCCc1ncc(Cc2cc3cc(OC)ccc3nc2NCC)c2cc(OC)c(OC)cc12
CHEMBL3690042,-7.65385962,-6.75981903,-7.94676208,-7.453480243333334,180,CNC(=O)c1c(NC(=O)c2nc(C3CC3)ncc2Nc2cncnc2)cnn1C
CHEMBL3927014,-7.70550108,-7.31377697,-7.31808901,-7.445789019999999,181,CN(C)c1nc2ccc(NC(=O)c3c(C(=O)N4CCOCC4)cnn3C)cn2n1
CHEMBL3907490,-7.31735325,-7.37572622,-7.59099865,-7.42802604,182,CN(C)c1nc2ccc(NC(=O)c3c(C(=O)N4CCC4)cnn3C)cn2n1
CHEMBL3699918,-8.00109863,-7.01281977,-7.20211697,-7.405345123333333,183,CCNc1ccc2ccc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4)cc2n1
CHEMBL3690039,-7.49553776,-6.98424673,-7.68534231,-7.3883756,184,CCN(C)c1cnc(Nc2cncnc2)c(C(=O)Nc2cnn(C)c2C(=O)NC)n1
CHEMBL3979072,-7.87670135,-6.61756182,-7.50582695,-7.333363373333333,185,COC1CCN(c2nc3ccc(NC(=O)c4c(C(=O)N(C)C5CC5)cnn4C)cn3n2)C1
CHEMBL3969806,-7.32509279,-7.04053879,-7.60651541,-7.324048996666666,186,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(N3CCOCC3)nn2c1
CHEMBL3928593,-7.446998599999999,-7.17183638,-7.32004452,-7.312959833333333,187,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(N3CCCC3)nn2c1
CHEMBL1098671,-7.62468958,-7.06496859,-7.23893595,-7.309531373333333,188,C#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccccn1)C(C)C
CHEMBL3959039,-7.5502739000000005,-6.83303928,-7.44983196,-7.277715046666668,189,CCN(CC)c1nc2ccc(NC(=O)c3c(C(=O)N4CCC4)cnn3C)cn2n1
CHEMBL3958035,-7.43286896,-6.55506086,-7.78682184,-7.258250553333333,190,CN(C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(N3CCOCC3)nn2c1)C1CC1
CHEMBL3690041,-7.45928955,-6.80275774,-7.45894766,-7.240331649999999,191,CN(C)CCNC(=O)c1c(NC(=O)c2nc(C3CC3)cnc2Nc2cncnc2)cnn1C
CHEMBL3643871,-7.7293210000000006,-7.10870075,-6.87493467,-7.237652139999999,192,CCCNc1nc2ccc(OC)cc2cc1Cc1c(=O)[nH]c(CCC)c2cc(OC)c(OC)cc12
CHEMBL3950896,-7.36034346,-6.96856022,-7.37708378,-7.235329153333333,193,CN(C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(N3CCCC3)nn2c1)C1CC1
CHEMBL3892738,-7.17459726,-7.28798056,-7.21456146,-7.225713093333333,194,CCN(CC)c1nc2ccc(NC(=O)c3c(C(=O)N4CCCC4)cnn3C)cn2n1
CHEMBL212218,-7.23119307,-7.01617908,-7.35444927,-7.20060714,195,Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl
CHEMBL3964955,-7.50389671,-6.66548014,-7.39744568,-7.1889408433333335,196,C=CC(=O)Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)n1
CHEMBL3937076,-7.40775537,-6.87055874,-7.26403856,-7.180784223333333,197,C#CC(=O)Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)n1
CHEMBL3979909,-7.36456919,-7.02828217,-7.12028742,-7.17104626,198,CCN(CC)c1nc2ccc(NC(=O)c3c(C(=O)N4CCOCC4)cnn3C)cn2n1
CHEMBL3934936,-7.70643806,-6.70430613,-7.07891941,-7.1632212,199,CCN(CC)C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(N3CCCC3)nn2c1
CHEMBL3958612,-7.19016266,-6.48239613,-7.56667757,-7.0797454533333335,200,C#CC(=O)Nc1cccc(-c2cnc3[nH]cc(C)c3c2)n1
CHEMBL3976245,-7.48557043,-6.45560169,-7.23140574,-7.057525953333333,201,C=CC(=O)Nc1cccc(-c2cnc3[nH]ccc3c2)n1
CHEMBL3955313,-6.98121977,-7.26293373,-6.8617363,-7.0352966,202,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(N3CCC(OC)C3)nn2c1
CHEMBL3952016,-7.3782053,-6.75141001,-6.86657095,-6.998728753333334,203,CN(C)c1nc2ccc(NC(=O)c3c(C(=O)N(C)C4CC4)cnn3C)cn2n1
CHEMBL3927614,-7.54311466,-6.43033266,-6.91390753,-6.962451616666667,204,CCC#CC(=O)Nc1cccc(-c2cnc3[nH]cc(C)c3c2)n1
CHEMBL3962931,-7.27527189,-6.70451403,-6.74735832,-6.909048080000001,205,CC#CC(=O)Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)n1
CHEMBL3957287,-6.88229275,-6.5845089,-7.18178558,-6.88286241,206,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(N(C)C)nn2c1
CHEMBL3966771,-7.30619192,-6.55080605,-6.78559399,-6.880863986666667,207,CCN(CC)C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(N(CC)CC)nn2c1
CHEMBL3904410,-7.29098892,-6.58089542,-6.71054649,-6.860810276666666,208,CCN(CC)c1nc2ccc(NC(=O)c3c(C(=O)N(C)C4CC4)cnn3C)cn2n1
CHEMBL3967872,-7.0491724,-6.70070076,-6.79109478,-6.846989313333334,209,CC#CC(=O)Nc1cccc(-c2cnc3[nH]cc(C)c3c2)n1
CHEMBL3966831,-7.23140717,-6.30880547,-6.97022057,-6.83681107,210,CCC#CC(=O)Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)n1
CHEMBL3968455,-7.00502872,-6.62173176,-6.87119198,-6.8326508200000005,211,CC#CC(=O)Nc1cccc(-c2cnc3[nH]ccc3c2)n1
CHEMBL3920364,-6.956778999999999,-6.36407089,-7.15686798,-6.825905956666666,212,C#CC(=O)Nc1cccc(-c2cnc3[nH]ccc3c2)n1
CHEMBL3941127,-7.24182701,-6.15255785,-7.04853773,-6.81430753,213,CCN(CC)C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(N3CCC(OC)C3)nn2c1
CHEMBL3951591,-7.0419116,-6.32357836,-6.797562599999999,-6.721017519999999,214,CCC#CC(=O)Nc1cccc(-c2cnc3[nH]ccc3c2)n1
CHEMBL3898936,-7.0723815000000005,-6.21716642,-6.51011896,-6.59988896,215,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccc2nc(N(CC)CC)nn2c1
CHEMBL397954,-6.26895475,-6.78180408,-6.24532747,-6.432028766666666,216,CCCCCCCCc1ccc(OCC(=O)Cn2ccc3cc(S(=O)(=O)N(C)C)ccc32)cc1
CHEMBL242101,-6.09949112,-6.70352507,-6.40133429,-6.4014501600000004,217,CCCCCCCCc1ccc(OCC(=O)Cn2ccc3cc(S(N)(=O)=O)ccc32)cc1
CHEMBL242320,-6.3096118,-6.35679913,-6.05361462,-6.240008516666666,218,CCCCCCCCc1ccc(OCC(=O)Cn2ccc3cc(S(=O)(=O)NC)ccc32)cc1
